,c,50,100,150,200,250,300
0,0.5,0.8232280102476516,0.8590947907771136,0.8727583262169086,0.8770281810418445,0.892399658411614,0.888129803586678
1,2.5,0.8898377455166524,0.9393680614859095,0.9598633646456021,0.9632792485055508,0.977796754910333,0.9795046968403074
2,4.5,0.9137489325362937,0.9624252775405636,0.9803586678052946,0.9854824935952178,0.9931682322801024,0.9948761742100769
3,6.5,0.9359521776259607,0.977796754910333,0.986336464560205,0.9914602903501281,0.9974380871050385,0.9982920580700256
4,8.5,0.9479077711357814,0.9803586678052946,0.9914602903501281,0.9931682322801024,0.9974380871050385,0.9991460290350128
5,10.5,0.9530315969257045,0.9846285226302306,0.9965841161400513,0.9965841161400513,0.9991460290350128,1.0
6,12.5,0.9564474807856533,0.9880444064901793,0.9974380871050385,0.9982920580700256,0.9991460290350128,1.0
7,14.5,0.9598633646456021,0.9880444064901793,0.9982920580700256,0.9982920580700256,0.9991460290350128,1.0
8,16.5,0.9632792485055508,0.9897523484201537,1.0,0.9991460290350128,0.9991460290350128,1.0
9,18.5,0.9666951323654995,0.9923142613151152,1.0,0.9991460290350128,1.0,1.0
10,20.5,0.9692570452604612,0.9940222032450897,1.0,0.9991460290350128,1.0,1.0
11,22.5,0.9709649871904356,0.9957301451750641,1.0,0.9991460290350128,1.0,1.0
12,24.5,0.9718189581554227,0.9957301451750641,1.0,0.9991460290350128,1.0,1.0
13,26.5,0.9760888129803587,0.9957301451750641,1.0,1.0,1.0,1.0
14,28.5,0.977796754910333,0.9965841161400513,1.0,1.0,1.0,1.0
15,30.5,0.9803586678052946,0.9965841161400513,1.0,1.0,1.0,1.0
16,32.5,0.9812126387702819,0.9974380871050385,1.0,1.0,1.0,1.0
17,34.5,0.9837745516652434,0.9974380871050385,1.0,1.0,1.0,1.0
18,36.5,0.9837745516652434,0.9974380871050385,1.0,1.0,1.0,1.0
19,38.5,0.9854824935952178,0.9974380871050385,1.0,1.0,1.0,1.0
20,40.5,0.986336464560205,0.9982920580700256,1.0,1.0,1.0,1.0
21,42.5,0.986336464560205,0.9982920580700256,1.0,1.0,1.0,1.0
22,44.5,0.9871904355251921,0.9982920580700256,1.0,1.0,1.0,1.0
23,46.5,0.9880444064901793,0.9991460290350128,1.0,1.0,1.0,1.0
24,48.5,0.9888983774551665,0.9991460290350128,1.0,1.0,1.0,1.0
25,50.5,0.9888983774551665,1.0,1.0,1.0,1.0,1.0
26,52.5,0.9888983774551665,1.0,1.0,1.0,1.0,1.0
27,54.5,0.9897523484201537,1.0,1.0,1.0,1.0,1.0
28,56.5,0.9923142613151152,1.0,1.0,1.0,1.0,1.0
29,58.5,0.9931682322801024,1.0,1.0,1.0,1.0,1.0
30,60.5,0.9931682322801024,1.0,1.0,1.0,1.0,1.0
31,62.5,0.9931682322801024,1.0,1.0,1.0,1.0,1.0
32,64.5,0.9948761742100769,1.0,1.0,1.0,1.0,1.0
33,66.5,0.9948761742100769,1.0,1.0,1.0,1.0,1.0
34,68.5,0.9948761742100769,1.0,1.0,1.0,1.0,1.0
35,70.5,0.9965841161400513,1.0,1.0,1.0,1.0,1.0
36,72.5,0.9965841161400513,1.0,1.0,1.0,1.0,1.0
37,74.5,0.9965841161400513,1.0,1.0,1.0,1.0,1.0
38,76.5,0.9965841161400513,1.0,1.0,1.0,1.0,1.0
39,78.5,0.9965841161400513,1.0,1.0,1.0,1.0,1.0
40,80.5,0.9965841161400513,1.0,1.0,1.0,1.0,1.0
41,82.5,0.9974380871050385,1.0,1.0,1.0,1.0,1.0
42,84.5,0.9974380871050385,1.0,1.0,1.0,1.0,1.0
43,86.5,0.9974380871050385,1.0,1.0,1.0,1.0,1.0
44,88.5,0.9982920580700256,1.0,1.0,1.0,1.0,1.0
45,90.5,0.9982920580700256,1.0,1.0,1.0,1.0,1.0
46,92.5,0.9982920580700256,1.0,1.0,1.0,1.0,1.0
47,94.5,0.9982920580700256,1.0,1.0,1.0,1.0,1.0
48,96.5,0.9982920580700256,1.0,1.0,1.0,1.0,1.0
49,98.5,0.9982920580700256,1.0,1.0,1.0,1.0,1.0
